X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-76.9858550064512,38.9110034133524,Capitol Ave & Kendall St NE,classic,336a1fe2-8e92-49ad-ab6a-c6c392d3edcd,,2023/12/01 10:50:55+00,5,0,14,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.910993,-76.985854,2023/12/01 10:52:27+00,146014935
-77.033352902347,38.8990364159272,15th St & New York Ave NW,classic,0824a43b-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:11+00,10,0,12,6,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.899032,-77.033354,2023/12/01 10:52:27+00,146014936
-76.9131858603952,38.8885321827324,Capitol Heights Metro,classic,3dc3100e-7a4c-4d34-8b92-e820f1bd46a0,,2023/12/01 10:51:21+00,14,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",133,DCA-CABI,,38.888524,-76.913188,2023/12/01 10:52:27+00,146014937
-76.9405467889001,39.0853245898231,Castle Blvd & Castle Ln,classic,804fb759-1127-4059-a67a-c1fdd5d98082,,2023/12/01 10:50:11+00,15,0,4,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",44,DCA-CABI,,39.085314,-76.940547,2023/12/01 10:52:27+00,146014938
-76.9952306729751,38.8841051966687,Eastern Market Metro / Pennsylvania Ave & 8th St SE,classic,08249e81-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:12+00,23,0,7,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,31,"KEY,CREDITCARD",42,DCA-CABI,,38.884095,-76.995234,2023/12/01 10:52:27+00,146014939
-77.0619790333855,38.9411476827106,Connecticut Ave & Tilden St NW,classic,0825c063-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:49+00,1,0,12,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.941139,-77.061977,2023/12/01 10:52:27+00,146014940
-77.1033776051056,38.9649993416759,River Rd & Landy Ln,classic,0825e5ff-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:13+00,13,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",44,DCA-CABI,,38.964992,-77.103381,2023/12/01 10:52:27+00,146014941
-77.0262182845824,38.9024073615825,10th & K St NW,classic,08251d5a-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:23+00,3,0,20,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.9024,-77.02622,2023/12/01 10:52:27+00,146014942
-77.1280127786647,38.8879177559137,Virginia Hospital Center,classic,5f060548-684b-469b-8825-66c80d77a874,,2023/12/01 10:50:13+00,8,0,7,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.887914,-77.128015,2023/12/01 10:52:27+00,146014943
-77.0332344615027,38.8922531486667,15th St & Constitution Ave NW,classic,99e66f13-6f03-4872-9f34-bcd92fe519fd,,2023/12/01 10:51:20+00,14,0,4,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.892244,-77.033234,2023/12/01 10:52:27+00,146014944
-77.0537732680695,38.7975667362703,Lee Center,classic,082625d9-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:05+00,10,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.797557,-77.053766,2023/12/01 10:52:27+00,146014945
-76.8255360002701,38.8899475633723,Largo Rd & Campus Way / Prince Georges's Comm Col,classic,5945c731-a300-46e6-8e51-3236ad1f65f2,,2023/12/01 10:50:49+00,2,0,13,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,DCA-CABI,,38.88994,-76.825535,2023/12/01 10:52:27+00,146014946
-76.9599014711346,38.8692075294367,Branch & Pennsylvania Ave SE,classic,0824c29d-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:07+00,2,0,13,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.8692,-76.9599,2023/12/01 10:52:27+00,146014947
-77.0608702630213,38.804382689832,Duke St & John Carlyle St,classic,0825f465-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:10+00,9,0,5,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.804378,-77.060866,2023/12/01 10:52:27+00,146014948
