X,Y,NAME,WEB_URL,EXIT_TO_ST,LINE,ADDRESS,FEATURECODE,DESCRIPTION,CAPTUREYEAR,MAR_ID,GIS_ID,OBJECTID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,ROUTEID,MEASURE,BLOCKKEY,SUBBLOCKKEY,BLOCKFACEKEY,SIDE
-77.0237687395638,38.8980559558533,GALLERY PL-CHINATOWN,http://www.wmata.com/rail/station_detail.cfm?station_id=21,SE CORNER OF 9TH STREET NW AND G STREET NW,"red, green, yellow","625 9TH STREET NW, WASHINGTON, DC 20001",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294833,MetroEntPt_70,395,,{DA5BE100-BBC9-4949-8D7A-28640DAAFC04},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11000902,935.900024414062,597874333e102616074dea2c8beb938c,ff8cd3848974ee95d2f6c0c01ae5128b,c2804f37a97dc976e11e36ab09efc199,Right
-77.0293839615128,38.8980337969203,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 13TH STREET NW ,"red, blue, orange, silver","607 13TH STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_71,396,,{09A85376-54BF-4327-932A-80F281697430},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11001302,286.299987792969,7cf93bca529e2f369fb058c3285db9b7,7cf93bca529e2f369fb058c3285db9b7,77b2b0e23d0a94cbb6fbd832a7ccabda,Right
-77.0215674165894,38.8975442395256,GALLERY PL-CHINATOWN,http://www.wmata.com/rail/station_detail.cfm?station_id=21,NE CORNER OF 7TH STREET NW AND F STREET NW,"red, green, yellow","625 7TH STREET NW, WASHINGTON, DC 20001",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294833,MetroEntPt_73,398,,{6F8A544D-5BC7-424D-A445-F3F10BB1C715},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11034382,988.5,de4fb55d78d01995af5b328a4d72a315,de4fb55d78d01995af5b328a4d72a315,626434cdae587266d2104a64f80e608e,Right
-77.0072020683264,38.897492192705,UNION STATION,http://www.wmata.com/rail/station_detail.cfm?station_id=25,NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE,red,"625 1ST STREET NE, WASHINGTON, DC 20002",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294849,MetroEntPt_74,399,,{76FD868F-2E1F-45CA-BFD1-4E30328009F5},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12000102,764.900024414062,6756a92ec8db4c1c36ac572b83cfdb9a,6756a92ec8db4c1c36ac572b83cfdb9a,4ddb992257036a82eda9336a81cffc15,Right
-77.0285723581336,38.8971549710485,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SW CORNER OF 12TH ST NW AND F ST NW,"red, blue, orange, silver","1200 F STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_75,400,,{A462033B-93F4-405F-B589-609C3495B018},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11034382,1603.80004882812,d067a28943c0d7cca5363f0ca12ce14a,d067a28943c0d7cca5363f0ca12ce14a,fb17537d38e7dc13e82712dfd0b30b53,Left
-77.0175252709552,38.8970597614359,JUDICIARY SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=23,SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW,red,"450 F STREET NW, WASHINGTON, DC 20001",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294829,MetroEntPt_76,401,,{222E0C0F-57CE-414D-9718-59119A46C503},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11034382,638.299987792969,e42e4454f674aabac68ecc943ea8c2a4,e42e4454f674aabac68ecc943ea8c2a4,de137015f6cd89674b382033f93b1ee6,Left
-77.0287153717556,38.8938344785676,FEDERAL TRIANGLE,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,"blue, orange, silver","302 12TH STREET NW, WASHINGTON, DC 20004",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294809,MetroEntPt_82,405,,{97D8A579-D991-442C-91F1-A9E49F49561C},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,0,0,0,0,0,0
-76.9374492515459,38.8904052325828,BENNING ROAD,http://www.wmata.com/rail/station_detail.cfm?station_id=90,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE,"blue, silver","4500 BENNING ROAD NE, WASHINGTON, DC 20019",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294851,MetroEntPt_85,408,,{F3B325AD-8E63-4F53-BD00-A99556FB6B3F},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12015342,4173.39990234375,14845ab44716b38f07cb877c89f76868,14845ab44716b38f07cb877c89f76868,2c98696b4183ac426031f35d583981fc,Left
-77.0284374338889,38.8890782780182,SMITHSONIAN,http://www.wmata.com/rail/station_detail.cfm?station_id=54,JEFFERSON DRIVE SW BETWEEN 12TH ST SW and 13TH ST NW,"blue, orange, silver","1201 JEFFERSON DRIVE SW, WASHINGTON, DC 20004",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294876,MetroEntPt_86,409,,{8A730302-EA1A-4CF0-8224-0F9BBBE9C956},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14001242,45.2999992370605,34bb6695d753780003a9bf0a30e3ae78,7fd437969710660d683b2e1a41a915fa,01483546e5e585233c572765c573ca7a,Right
-77.0285664622737,38.8873837162913,SMITHSONIAN,http://www.wmata.com/rail/station_detail.cfm?station_id=54,SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,"blue, orange, silver","1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC 20004",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294876,MetroEntPt_89,411,,{FE014BFE-6A61-440D-BA3B-CF66A7E822B9},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14047972,1692,d6c5ace66f79e570e26b828beed50409,d6c5ace66f79e570e26b828beed50409,d76e34e9641baea929ec198c50c4954d,Left
